sport,name,startDate,address,municipality,guests
Sci,"BRIGNONE E PASOTTI: CIAK, SI SCIA!",2024-10-12 15:30:00,"Auditorium Santa Chiara, Via S. Croce 67","Trento, TN","Federica Brignone, Giorgio Pasotti"
Sci,"LIBRI DI SPORT: UNA RAGAZZA DI MONTAGNA
Libri di sport",2024-10-12 16:45:00,"Piazza del Duomo, Piazza Del Duomo","Trento, TN",Deborah Compagnoni
Sci,MARC GIRARDELLI: IL GIGANTE,2024-10-12 19:00:00,"Sala Depero, Piazza Dante 15","Trento, TN",Marc Girardelli
Slacklining,SLACKLINE SOPRA TRENTO,2024-10-13 14:00:00,"Piazza del Duomo, Piazza Del Duomo","Trento, TN",Jaan Roose
Tennis,FENOMENO ITALTENNIS,2024-10-10 12:00:00,"Sala Depero, Piazza Dante 15","Trento, TN","Sara Errani, Tathiana Garbin, Lorenzo Musetti, Jasmine Paolini, Filippo Volandri"
Tennis,IVAN LJIUBICIC: IL MAESTRO,2024-10-13 10:30:00,Palazzo della Regione,"Trento, TN",Ivan Ljubicic
Tiro a volo,"BACOSI, ROSSETTI, MONNA E NILO MALDINI: COLPO VINCENTE",2024-10-10 12:00:00,Palazzo della Regione,"Trento, TN","Diana Bacosi, Paolo Monna, Federico Nilo Maldini, Gabriele Rossetti"
Vela,BECCARIA E MURA: I NOSTRI OCEANI,2024-10-11 10:30:00,Palazzo della Regione,"Trento, TN","Ambrogio Beccaria, Andrea Mura"
Vela,"LIBRI DI SPORT: OLTRE I LIMITI. DIECI ANNI IN OCEANO CON MASERATI
Libri di sport",2024-10-11 14:00:00,"Piazza del Duomo, Piazza Del Duomo","Trento, TN",Giovanni Soldini
Volley,MAURIZIA CACCIATORI: LE PI FORTI SIAMO NOI,2024-10-10 10:00:00,"Teatro Sociale, Via Paolo Oss-Mazzurana 19","Trento, TN","Maurizia Cacciatori, Alessandra Campedelli"
Volley,PROSECCO DOC IMOCO CONEGLIANO LA SQUADRA DEI SOGNI,2024-10-10 11:30:00,"Auditorium Santa Chiara, Via S. Croce 67","Trento, TN","Monica De Gennaro, Sarah Fahr, Piero Gaberlotto, Gabi Guimares, Isabelle Haak, Marina Lubian, Daniele Santarelli"
Volley,GHEDINA E PICCININI: DA PECHINO A TRENTO,2024-10-11 16:00:00,"Sala Depero, Piazza Dante 15","Trento, TN","Kristian Ghedina, Francesca Piccinini"
Volley,ALESSANDRO MICHIELETTO MEET&GREET,2024-10-12 11:30:00,"Piazza Fiera, Piazza di Fiera","Trento, TN",Alessandro Michieletto
Volley,"JULIO VELASCO: IL MIO GIOCO, IL MIO MONDO",2024-10-12 17:00:00,"Teatro Sociale, Via Paolo Oss-Mazzurana 19","Trento, TN",Julio Velasco
Volley,SIR SUSA VIM PERUGIA: I BLOCKDEVILS,2024-10-13 10:00:00,"Auditorium Santa Chiara, Via S. Croce 67","Trento, TN","Max Colaci, Simone Giannelli, Yuki Ishikawa, Angelo Lorenzetti, Oleh Plotnytsky, Roberto Russo, Gino Sirci"
Windsurf,MAGGETTI E SENSINI: VIA COL VENTO,2024-10-13 17:30:00,"Sala Depero, Piazza Dante 15","Trento, TN","Marta Maggetti, Alessandra Sensini"
