id,name,lit,covered,surface
5163,Tennis Club C10 Ass.Sportiva Dilettantistica,,,
5164,Tennis Club,,,
5165,Tennisclinic,,,
5183,Tennis Centro Val di Non Associazione Sportiva Dilettantistica,,,
5184,Tennis Centro Val Di Sole Assoc.Sp.Dilettantistica,,,
5211,Tennisclub Dilettanti Laghetti,,,
5226,Tennisclub Dilettanti Laghetti,,,
5229,Circolo Tennis Trento,,,
5283,Circolo Tennis Borgo Assoc.Sport.Dilettantistica,,,
5284,Circolo Tennis Calisio,,,
5286,Circolo Tennis Grillo,,,
5287,Circolo Tennis Pergine Assoc.Sport.Dilettantistica,,,
5324,Tennis Centro Val di Non Associazione Sportiva Dilettantistica,,,
5332,Circolo Tennis Trento,,,
5366,Circolo Tennis Grillo,,,
5367,Circolo Tennis Rovereto Asd,,,
5424,Circolo Tennis Arco,,,
5425,Circolo Tennis Calisio,,,
5426,Circolo Tennis Lavarone A.S.D.,,,
5427,Circolo Tennis Pergine Assoc.Sport.Dilettantistica,,,
5428,Circolo Tennis Rovereto,,,
5429,Circolo Tennis Torbole,True,,grass
5457,Tennis Club Associazione Sportiva Dilettantistica,True,,clay
5458,Tennis Club C10 Ass.Sportiva Dilettantistica,,,
5459,Tennis Club,,,
5460,Tennisclinic,,,
5483,Circolo Tennis Borgo Assoc.Sport.Dilettantistica,,,
5501,Tennis Club Asiago,,,
5502,Tennis Club Fonzaso,,,
5513,Tennis Centro Val di Non Associazione Sportiva Dilettantistica,,,
5521,Asv Gargazon/Raika Sektion Tennis,,,
5549,Tennis Academy Service A.S.D.,,,
5550,Tennis Centro Val Di Sole Assoc.Sp.Dilettantistica,,,
5551,Tennis Club Bronzolo Branzoll Sportiva Dilettantistica,,,
5553,Tennis Sparer,,,
5554,Tennisclub Dilettanti Laghetti,,,
5562,Circolo Tennis Trento,,,
5607,Circolo Tennis Calisio,,,
5608,Circolo Tennis Grillo,,,
5609,Circolo Tennis Pergine Assoc.Sport.Dilettantistica,,,
5650,Circolo Tennis Borgo Assoc.Sport.Dilettantistica,,,
5651,Circolo Tennis Lavarone A.S.D.,,,
5669,Tennisclub Dilettanti Laghetti,,,
5682,Tennis Centro Val di Non Associazione Sportiva Dilettantistica,,,
5698,Circolo Tennis Cassa di Risparmio,,,
5721,Tennis Academy Service A.S.D.,,,
5722,Tennis Centro Val Di Sole Assoc.Sp.Dilettantistica,,,
5723,Tennis Club Bronzolo Branzoll Sportiva Dilettantistica,,,
5725,Tennis Sparer,,,
5726,Tennisclub Dilettanti Laghetti,,,
5737,Tennis Centro Val di Non Associazione Sportiva Dilettantistica,,,
5738,Scuolatennis.it - Bolzano,,,
5750,Asv Gargazon/Raika Sektion Tennis,,,
5764,Circolo Tennis,,,
5765,Circolo Tennis Bauzanum '77,,,
5766,Circolo Tennis Cassa di Risparmio,,,
5815,Tennis Academy Service A.S.D.,,,
5816,Tennis Centro Val Di Sole Assoc.Sp.Dilettantistica,,,
5817,Tennis Club Bolzano Bozen,,,
5818,Tennis Club Bronzolo Branzoll Sportiva Dilettantistica,,,
5819,Tennis Club Comune di Bolzano,,,
5821,Tennis Gehra,,,
5822,Tennis Sparer,,,
5823,Tennisclub Dilettanti Laghetti,,,
5834,Tennis Club Associazione Sportiva Dilettantistica,True,,clay
5839,Circolo Tennis Trento,,,
5897,Circolo Tennis Arco,,,
5898,Circolo Tennis Calisio,,,
5899,Circolo Tennis Grillo,,,
5901,Circolo Tennis Rovereto Asd,,,
5902,Circolo Tennis Rovereto,,,
5903,Circolo Tennis Torbole,True,,grass
5935,Tennis Club C10 Ass.Sportiva Dilettantistica,,,
5936,Tennis Club,,,
5937,Tennisclinic,,,
5962,Tennis Centro Val Di Sole Assoc.Sp.Dilettantistica,,,
5976,Tennis Centro Val di Non Associazione Sportiva Dilettantistica,,,
5979,Tennis Centro Val di Non Associazione Sportiva Dilettantistica,,,
6026,Tennis Academy Service A.S.D.,,,
6027,Tennis Centro Val Di Sole Assoc.Sp.Dilettantistica,,,
6029,Tennis Sparer,,,
6030,Tennisclub Dilettanti Laghetti,,,
6043,Tennis Centro Val Di Sole Assoc.Sp.Dilettantistica,,,
6050,Tennis Centro Val di Non Associazione Sportiva Dilettantistica,,,
6087,Scuolatennis.it - Bolzano,,,
6097,Asv Welschnofen - Sektion Tennis Raiffeisen,,,
6108,Circolo Tennis,,,
6109,Circolo Tennis Bauzanum '77,,,
6110,Circolo Tennis Cassa di Risparmio,,,
6148,Tennis Academy Service A.S.D.,,,
6149,Tennis Club Bolzano Bozen,,,
6150,Tennis Club Bronzolo Branzoll Sportiva Dilettantistica,,,
6151,Tennis Club Comune di Bolzano,,,
6154,Tennis Sparer,,,
6155,Tennisclub Dilettanti Laghetti,,,
6172,Tennis Centro Val di Non Associazione Sportiva Dilettantistica,,,
6173,Scuolatennis.it - Bolzano,,,
6185,Asv Gargazon/Raika Sektion Tennis,,,
6199,Circolo Tennis,,,
6200,Circolo Tennis Bauzanum '77,,,
6201,Circolo Tennis Cassa di Risparmio,,,
6245,Tennis Academy Service A.S.D.,,,
6246,Tennis Centro Val Di Sole Assoc.Sp.Dilettantistica,,,
6247,Tennis Club Bolzano Bozen,,,
6248,Tennis Club Bronzolo Branzoll Sportiva Dilettantistica,,,
6249,Tennis Club Comune di Bolzano,,,
6251,Tennis Sparer,,,
