Titolo,Titolo breve,Immagine,Descrizione,Locandina dell'evento,Inizio,Termine,Durata,Quando,Dove,Informazioni,Destinatari,Costi,Stato,Materia,Circoscrizione,Argomento,Tipologia evento,Manifestazione cui fa parte,Associazione,Progressivo,Sottotitolo,Orario,Posizione geografica,Fonte
Hydro comics & podcast,,var/mezzocorona/storage/images/turismo/calendario-eventi/hydro-comics-podcast/420400-1-ita-IT/Hydro-comics-podcast.jpg|,Tre giorni di eventi ambientali dedicati ai ragazzi promossi da GreenMarked:presentazione iniziativa il giorno 8.3.24 h. 18.30 presso l'Auditorium dell'istituto Martino Martini di Mezzolombardosi veda la locandina allegata,,08/03/2024,08/03/2024,,,,,,,,,,,Evento singolo,,,,,,,
"Mostra ""Professione donna"" presso la Comunità di Valle",,var/mezzocorona/storage/images/turismo/calendario-eventi/mostra-professione-donna-presso-la-comunita-di-valle/420425-1-ita-IT/Mostra-Professione-donna-presso-la-Comunita-di-Valle.jpg|,"E' esposta la mostra &quot,Professione donna&quot, con fotografie di Marco Weber dall'8 al 29 marzo 2024 presso la Comunità di Valle Rotaliana Koenigsberg a Mezzocorona.Per ulteriori informazioni si veda l'allegata locandina",,08/03/2024,29/03/2024,,,,,,,,,,,Evento singolo,,,,,,,
Laboratorio di Pasqua con Fantarte,,var/mezzocorona/storage/images/turismo/calendario-eventi/laboratorio-di-pasqua-con-fantarte/420475-1-ita-IT/Laboratorio-di-Pasqua-con-Fantarte.jpg|,"In data 9 marzo l'associazione Fantarte propone attività per i piccoli quali giochi all'aperto, caccia alle uova e laboratorio di creatività presso casa Postal (via Sentieri 26 Mezzocorona) h. 14-16.Per ulteriori informazioni si veda la locandina allegata.",,09/03/2024,09/03/2024,,,,,,,,,,,Evento singolo,,,,,,,
"Giornata internazionale della donna ""La tombola al circolo""",,var/mezzocorona/storage/images/turismo/calendario-eventi/giornata-internazionale-della-donna-la-tombola-al-circolo/420500-3-ita-IT/Giornata-internazionale-della-donna-La-tombola-al-circolo.jpg|,Il circolo anziani e pensionati S. Gottardo organizza la tombola al circolo il giorno 8 marzo alle h. 15.30.,,08/03/2024,,,,,,,,,,,,Evento singolo,,,,,,,
Escursione in bassa Atesina con la SAT- Sezione di Mezzocorona,,var/mezzocorona/storage/images/turismo/calendario-eventi/escursione-in-bassa-atesina-con-la-sat-sezione-di-mezzocorona/420525-1-ita-IT/Escursione-in-bassa-Atesina-con-la-SAT-Sezione-di-Mezzocorona.jpg|,"La SAT propone una escursione in Bassa Atesina,&nbsp, conosciuta per il Lago di Caldaro, per le estensioni di vigneti e frutteti, per le numerose attività, in particolare bici e camminate, che si possono praticare tutto l’anno. Un percorso alla scoperta di un territorio vicino che ci porterà a camminare fra campagne, boschi, paesi, masi e chiese disseminate sulle coste soleggiate di questo lembo di Alto Adige.L'attività è prevista in data 17.2.2024.www.satmezzocorona.it",,17/03/2024,,,,,,,,,,,,Evento singolo,,,,,,,
Manovre salvavita proposte dalla Croce rossa italiana: incontro informativo all'Oratorio,,var/mezzocorona/storage/images/turismo/calendario-eventi/manovre-salvavita-proposte-dalla-croce-rossa-italiana-incontro-informativo-all-oratorio/421710-1-ita-IT/Manovre-salvavita-proposte-dalla-Croce-rossa-italiana-incontro-informativo-all-Oratorio.jpg|,La croce rossa italiana - comitato provinciale di Trento propone un incontro sulle manovre salvavita e la prevenzione degli incidenti dell'età pediatrica venerdì 15.3.24 h.20.30 presso Oratorio di Mezzocorona.Ingresso gratuito,,15/03/2024,15/03/2024,,,,,,,,,,,Evento singolo,,,,,,,
Serata informativa sulle Comunità energetiche rinnovabili,,var/mezzocorona/storage/images/turismo/calendario-eventi/serata-informativa-sulle-comunita-energetiche-rinnovabili/421750-3-ita-IT/Serata-informativa-sulle-Comunita-energetiche-rinnovabili.jpg|,"COMUNITÀ ENERGETICHE RINNOVABILIIl 20 marzo 2024 alle 20.00 presso l'auditorium della cassa di Trento a Mezzocorona.Serata informativa aperta a tutta la popolazione per la divulgazionee la promozione di un progetto di comunità energetica nato sulla piana rotaliana. Nella serata verrà presentato il progetto, i benefici ambientali, sociali ed economici per le famiglie e le imprese e verranno raccoltele manifestazioni di interesse.Tutti i dettagli nella allegata locandina.",www.comune.mezzocorona.tn.it/content/download/45698/421752/20 marzo assemblea mezzocorona.pdf,20/03/2024,20/03/2024,,,,,,,,,,,Evento singolo,,,,,,,
Suoni antichi riscoperti a Mezzocorona,,var/mezzocorona/storage/images/turismo/calendario-eventi/suoni-antichi-riscoperti-a-mezzocorona/421800-1-ita-IT/Suoni-antichi-riscoperti-a-Mezzocorona.jpg|,"SABATO 14 APRILE 2024Mezzocorona&nbsp,|&nbsp,Chiesa parrocchiale S. Maria AssuntaOre 20.00Concerto dei maestri Alex Gai e&nbsp,Ai Yoshida - Organo a quattro maniA seguire racconto dei prodotti locali con piccola degustazione&nbsp,L'evento fa parte di una rassegna di&nbsp,11 concerti&nbsp,con la direzione artistica del Maestro Simone Vebber,&nbsp,che avrà luogo nelle chiese dei comuni della Piana Rotaliana Königsberg e della Val di Cembra da&nbsp,ottobre 2023 ad&nbsp,aprile 2024.I concerti si presentano come “duetti” che vedono accanto all’organo la presenza di cori (Coro di Pressano, Coro di voci bianche “Celestino Eccher”, Coro Rigoverticale),cantanti (soprano, mezzosoprano), strumenti musicali noti (oboe, corno delle Alpi, violoncello) e meno conosciuti come il karnyx e il theremin. Un viaggio dunque che partendo dalla tradizione cerca di stimolare anche nuove forme artistiche per far apprezzare la capacità comunicativa e di coinvolgimento della musica.&nbsp,Ecco il programma dettagliato:https://www.pianarotaliana.it/eventi/eventi/suoni-antichi-riscoperti",,14/04/2024,,,,,,,,,,,,Evento singolo,,,,,,,
"Presentazione del libro di Marco Veronese ""Amaro destino""",,var/mezzocorona/storage/images/turismo/calendario-eventi/presentazione-del-libro-di-marco-veronese-amaro-destino/423459-1-ita-IT/Presentazione-del-libro-di-Marco-Veronese-Amaro-destino.jpg|,"Presentazione del libro di Marco Veronese &quot,Amaro destino&quot,in biblioteca il 5 aprile alle ore 18.00.L’odissea dell’alcoolismo, vista e vissuta con gli occhi di chi è riuscito a conquistarsi, con fatiche e continue sfide, il biglietto di ritorno. L’autore racconta la sua esperienza ventennale nella dipendenza, attraverso una raccolta di poesie crude e dirette che ripercorrono le paure, i dolori, le sconfitte personali ma anche la forza di trovare lentamente una via d’uscita tra mille diffidenze e giudizi. Un percorso di lotta, di sconfitte, di lacerazioni ma anche di rinascita e di riaffermazione.Marco Veronese sta presentando la sua storia in un dialogo aperto con il pubblico fatto di domande e risposte sul tema, al fine di promuovere l’importanza della prevenzione e della corretta informazione su una tematica così delicata.&nbsp,Interverrà Donato Giovannini, Presidente della Sezione ACAT Paganella-Cembra-Rotaliana.Iniziativa in collaborazione con l’assessorato alle attività sociali del Comune di Mezzocorona",,05/04/2024,,,,,,,,,,,,Evento singolo,,,,,,,
Draghi e dinosauri al castello di S. Gottardo: conferenza in biblioteca,,var/mezzocorona/storage/images/turismo/calendario-eventi/draghi-e-dinosauri-al-castello-di-s.-gottardo-conferenza-in-biblioteca/423484-1-ita-IT/Draghi-e-dinosauri-al-castello-di-S.-Gottardo-conferenza-in-biblioteca.jpg|,"Draghi e dinosauri al castello di S. Gottardo: conferenza in biblioteca a cura di Margherita Faesil 12 aprile alle ore 17.00 la biblioteca propone un incontro informativo per tutti per conoscere la leggenda de Basilisco di Mezzocorona e la scoperta delle orme dei dinosauri del Castello di S. Gottardo, fatta esattamente 20 anni fa da Marco Avanzini e Matteo Rinaldo, geologi del Muse.&nbsp,Entrambi gli approfondimenti derivano dallo studio delle pubblicazioni sugli argomenti ed in particolare della&nbsp, pubblicazione “Le orme dei dinosauri del castello di S. Gottardo di Mezzocorona con cenni alla storia del castello” di M. Avanzini, M. Bernardi, F. Petti e L. Melchiori, ed. Comune di Mezzocorona e Muse, 2010 (in esaurimento).",,12/04/2024,,,,,,,,,,,,Evento singolo,,,,,,,
