sport,name,location,date,guests
Ciclismo,FRANCESCO MOSER: L'UOMO DEI RECORD,"{'name': 'Auditorium Santa Chiara', 'address': 'Via S. Croce, 67 - 38122 Trento'}",2024-10-11 15:00:00,['Francesco Moser']
Ciclismo,GIRO-E: UNESPERIENZA SOSTENIBILE,"{'name': 'Palazzo Geremia', 'address': 'Via Rodolfo Belenzani, 20 Trento, TN'}",2024-10-11 18:00:00,"['Kristian Ghedina', 'Leonardo Ghiraldini', 'Rachele Sangiuliano', 'Valerio Vermiglio']"
Ciclismo,TADEJ POGAAR: NATO PER VINCERE,"{'name': 'Auditorium Santa Chiara', 'address': 'Via S. Croce, 67 - 38122 Trento'}",2024-10-13 16:00:00,['Tadej Pogačar']
Ginnastica artistica,LA MAGIA DELLE FATE,"{'name': 'Auditorium Santa Chiara', 'address': 'Via S. Croce, 67 - 38122 Trento'}",2024-10-11 10:30:00,"['Angela Andreoli', ""Alice D'Amato"", 'Manila Esposito', 'Vanessa Ferrari', 'Elisa Iorio', 'Giorgia Villa']"
Motociclismo,MORBIDELLI E CAMPINOTI: MOTOGP MADE  IN ITALY,"{'name': 'Filarmonica', 'address': 'Via Giuseppe Verdi, 30, 38122 Trento TN'}",2024-10-11 16:00:00,"['Mario Almondo', 'Paolo Campinoti', 'Franco Morbidelli']"
Motociclismo,GIACOMO AGOSTINI: NUMERO UNO,"{'name': 'Filarmonica', 'address': 'Via Giuseppe Verdi, 30, 38122 Trento TN'}",2024-10-12 10:30:00,['Giacomo Agostini']
Motociclismo,BIAGGI E SOMASCHINI: POTENZA E CONTROLLO,"{'name': 'Palazzo della Regione', 'address': 'https://www.regione.taa.it/'}",2024-10-12 14:00:00,"['Max Biaggi', 'Rachele Somaschini']"
Motociclismo,"MOTORSPORT ACADEMY, I SEGRETI DELLAERODINAMICA","{'name': 'Piazza Dante Beta Officina Motori', 'address': 'Piazza Dante'}",2024-10-12 16:30:00,['Carlo Da Rold']
Motociclismo,JORGE LORENZO: SENZA FRENI,"{'name': 'Teatro Sociale', 'address': 'Via Paolo Oss-Mazzurana, 19, 38122 Trento TN'}",2024-10-12 20:00:00,['Jorge Lorenzo']
Motociclismo,"MOTORSPORT ACADEMY, IL FUTURO DELLE DUE RUOTE","{'name': 'Piazza Dante Beta Officina Motori', 'address': 'Piazza Dante'}",2024-10-13 15:30:00,['Carlo Da Rold']
Nuoto,NUOTIAMO NELLORO,"{'name': 'Palazzo della Regione', 'address': 'https://www.regione.taa.it/'}",2024-10-10 15:00:00,"['Simone Barlaam', 'Giulia Ghiretti', 'Carlotta Gigli', 'Luca Pancalli', 'Stefano Raimondi', 'Giulia Terzi']"
Nuoto,GREGORIO PALTRINIERI: NATO PER NUOTARE,"{'name': 'Teatro Sociale', 'address': 'Via Paolo Oss-Mazzurana, 19, 38122 Trento TN'}",2024-10-10 21:00:00,['Gregorio Paltrinieri']
Nuoto,THOMAS CECCON: SOGNI D'ORO,"{'name': 'Auditorium Santa Chiara', 'address': 'Via S. Croce, 67 - 38122 Trento'}",2024-10-12 11:30:00,['Thomas Ceccon']
